IAU,Instrument,FOS_Name,STIS_Name,COS_Name,HST_Opt,Inst_final,S2N_coadd,z,Hbeta,F1550,FCIVNC,DelVR,FCIVBC,c1_4,c1_2,c3_4,c0_9,CIV,AI,Kurt,_RA,_DE,SDSS Spectra,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,Separation
J12291+0203,FOS+STIS,3C273,None,None,STIS/3C273,FOS,219,0.1583,3829,29.17,7.63,-634,103.0,433,-552,-500,-473,5254,0.16,0.27,187.277896388889,2.05240638888889,yes,,,,,,,
J18421+7946,FOS+STIS,3C390,None,None,STIS/3C390,FOS,26,0.0555,12688,0.59,0.44,45,7.8,-1055,-1285,-2479,-2824,8186,0.25,0.29,280.537458055556,79.7714244444444,yes,,,,,,,
J14275+2632,FOS+STIS,J14275+2632,B21425+26,None,,FOS,17,0.3634,9224,0.78,,0,10.9,302,-563,-865,-969,10843,0.14,0.37,216.898334444444,26.5374016666667,yes,142735.60+263214.5,216.89836,26.537377,2135,53827,340,0.12107810756732600
J01376-2430,STIS,None,J01376-2430,None,,STIS,19,0.835,10563,0.87,,0,3.9,917,194,-85,-176,5663,0.23,0.32,24.4098530555556,-24.5149711111111,yes,,,,,,,
J04232-0120,FOS+STIS,J04232-0120,J04232-0120,None,,FOS,17,0.915,3185,0.48,0.13,-285,4.2,-3,181,68,-25,4021,0.01,0.33,65.8158363888889,-1.34251805555556,yes,,,,,,,
J07086-4933,STIS,None,J07086-4933,None,,STIS,35,0.0408,1365,2.69,0.0,0,2.3,-2513,-2032,-1530,-1396,4841,-0.32,0.42,107.17305,-49.5518416666667,yes,,,,,,,
J13122+3515,STIS,None,J13122+3515,None,,STIS,12,0.1821,4186,1.6,,0,11.0,-1272,-358,-223,-142,4587,-0.24,0.31,198.073958333333,35.2558611111111,yes,131217.75+351521.0,198.073962,35.255848,2016,53799,61,0.04841512663833620
J13253-3824,COS+STIS,None,J13253-3824,None,,STIS,28,0.0667,1246,1.18,0.0,0,1.8,-3160,-2764,-2512,-2442,5427,-0.18,0.4,201.330720833333,-38.4145666666667,yes,,,,,,,
J15591+3501,STIS,None,J15591+3501,None,,STIS,32,0.0313,800,0.77,0.0,0,6.9,-26,32,44,48,2159,-0.04,0.34,239.7903125,35.0298166666667,yes,,,,,,,
J21148+0607,FOS+STIS,J21148+0607,J21148+0607,None,,FOS,24,0.4608,4173,1.5,0.0,0,7.8,-2192,-1498,-1229,-1113,5978,-0.22,0.39,318.719113055556,6.128425,no,,,,,,,
J21377-1432,FOS+STIS,J21377-1432,J21377-1432,None,,FOS,10,0.2004,9789,0.74,,0,13.9,-75,131,210,225,3846,-0.07,0.23,324.4382625,-14.5487277777778,no,,,,,,,
J22541+1136,FOS+STIS,J22541+1136,J22541+1136,None,,FOS,55,0.3256,4752,1.39,,0,19.4,-823,-399,-257,-202,4053,-0.13,0.26,343.543443055556,11.6107286111111,no,,,,,,,
J20441-1043,STIS,None,Mrk509,None,STIS,STIS,98,0.0344,3614,8.0,,0,94.2,-790,-457,-379,-359,4098,-0.12,0.35,311.040700555556,-10.7234569444444,yes,,,,,,,
J10235+1951,STIS,None,NGC3227,None,STIS,STIS,62,0.0039,4605,0.08,,0,1.2,-155,-195,-220,-232,3717,0.03,0.42,155.877375,19.8650833333333,yes,,,,,,,
J11067+7234,COS+STIS,None,NGC3516,None,STIS,STIS,818,0.0088,6338,3.6,,0,76.5,-861,68,214,192,5494,-0.2,0.3,166.697891666667,72.5685277777778,yes,,,,,,,
J12184+2948,STIS,None,NGC4253,None,,STIS,3.2*,0.0124,2087,0.03,0.14,-13,0.1,-887,-590,-350,-224,6402,-0.16,0.54,184.61035,29.8128194444444,yes,,,,,,,
J12258+3332,COS+STIS,None,NGC4395,None,STIS,STIS,46,8E-04,1695,0.24,1.25,281,1.8,220,176,216,260,4267,-0.01,0.43,186.453841666667,33.54675,yes,,,,,,,
J02019-1132,FOS,3C057,None,None,,FOS,99,0.6713,4753,2.64,0.0,0,4.8,-1686,-1531,-1267,-1088,5971,-0.14,0.45,30.48825,-11.5426388888889,yes,,,,,,,
J03514-1429,FOS,3C095,None,None,,FOS,18,0.616,9516,3.94,0.86,-12,20.2,0,-78,194,277,9649,-0.03,0.31,57.8690833333333,-14.4856111111111,yes,,,,,,,
J04172-0553,FOS,3C110,None,None,,FOS,65,0.7744,9256,2.02,1.11,-134,16.2,1586,983,582,386,9018,0.16,0.36,64.3199166666667,-5.896,yes,,,,,,,
J08407+1312,FOS,3C207,None,None,,FOS,24,0.6804,2958,0.35,,0,4.1,890,425,319,284,4570,0.16,0.37,130.198285,13.2065455555556,yes,084047.58+131223.5,130.198288,13.206544,2426,53795,625,0.011912681696060400
J09065+1646,FOS,3C215,None,None,,FOS,21,0.4113,4680,0.15,0.25,-508,4.0,1972,28,100,11,7460,0.25,0.34,136.63275,16.7699722222222,yes,,,,,,,
J09583+3224,FOS,3C232,None,None,,FOS,23,0.5298,13666,43.4,,0,132.4,1566,969,236,144,6219,0.23,0.24,149.58729,32.4006138888889,yes,095820.94+322402.2,149.58727454238700,32.40061787430240,10450,58142,541,0.049126149759615200
J11146+4037,FOS,3C254,None,None,,FOS,35,0.7367,6866,0.28,0.25,-598,5.1,312,166,-448,-366,8937,0.09,0.29,168.661308333333,40.6223025,yes,111438.71+403720.3,168.661318,40.62232,1439,53003,114,0.06831317563411800
J11399+6547,FOS,3C263,None,None,,FOS,30,0.6465,5012,1.82,0.38,14,14.5,-189,-210,-327,-376,4967,0.04,0.36,174.987601388889,65.7970883333333,yes,,,,,,,
J13079+0642,FOS,3C281,None,None,,FOS,20,0.599,8915,0.52,0.24,384,5.9,134,140,181,292,7727,-0.02,0.27,196.974725,6.703885,yes,130753.92+064213.9,196.974698,6.703863,1795,54507,239,0.12486683852478200
J16203+1736,FOS,3C334,None,None,,FOS,44,0.5556,11219,1.31,0.37,24,9.9,96,-67,-162,-186,6940,0.04,0.28,245.090910555556,17.6066530555556,yes,162021.81+173623.9,245.090914,17.606652,2969,54586,180,0.012414981868266500
J16246+2345,FOS,3C336,None,None,,FOS,35,0.927,7499,0.42,0.59,62,4.6,1554,638,303,260,7988,0.17,0.32,246.162853055556,23.7533841666667,yes,162439.08+234512.1,246.162858,23.753385,1574,53476,44,0.01656602403301470
J16429+3948,FOS,3C345,None,None,,FOS,10,0.5931,4498,0.55,0.0,0,5.9,389,250,166,115,3936,0.09,0.41,250.745041388889,39.8102761111111,yes,164258.80+394837.0,250.7450367489400,39.81028546748770,6038,56090,144,0.03604420855042310
J22539+1608,FOS,3C454,None,None,,FOS,21,0.8586,7394,1.6,0.13,-203,5.0,-395,-295,-183,-128,3372,-0.1,0.4,343.490616666667,16.1482113888889,yes,,,,,,,
J05161-0008,FOS,Ark120,None,None,,FOS,26,0.0323,6455,9.86,8.65,-143,126.9,-566,-236,-330,-307,4792,-0.06,0.33,79.0474791666667,-0.149902777777778,yes,,,,,,,
J01237-5848,FOS,Fairall9,None,None,,FOS,24,0.0461,6263,2.41,3.68,-6,41.1,21,234,157,106,4100,-0.02,0.31,20.9406180555556,-58.8057355555556,yes,,,,,,,
J07456+3142,FOS,FBQS J074541.6+314256,None,None,,FOS,23,0.4611,7800,1.28,0.93,-308,13.5,409,258,-410,-679,7690,0.17,0.33,116.423631111111,31.7157269444444,yes,074541.66+314256.6,116.423616,31.715739,755,52235,46,0.06344330892847050
J01342-4258,FOS,HE0132-4313,None,None,FOS,FOS,100,0.237,2600,1.68,0.0,0,1.0,-3333,-2665,-2195,-2026,5233,-0.36,0.45,23.5704641666667,-42.9739805555556,no,,,,,,,
J06300+6905,FOS,HS 0624+6907,None,None,,FOS,17,0.3702,3660,5.95,0.0,0,5.5,-1428,-937,-777,-731,3666,-0.22,0.35,97.5104655555555,69.0843988888889,no,,,,,,,
J04525-2953,FOS,IRAS04505-2958,None,None,,FOS,32,0.2855,2275,1.41,0.0,0,8.5,-1579,-898,-820,-818,4168,-0.21,0.38,73.1253380555556,-29.8931183333333,no,,,,,,,
J00392-5117,COS+FOS,J00392-5117,None,None,FOS,FOS,78,0.029,1203,0.2,,0,2.0,338,-78,-54,-6,3056,0.11,0.28,9.81609583333333,-51.2837166666667,yes,,,,,,,
J00449+1026,FOS,J00449+1026,None,None,,FOS,11,0.5857,8978,0.12,0.18,56,2.3,1433,-37,-124,-144,7385,0.2,0.26,11.2446869444444,10.4480772222222,yes,,,,,,,
J00535+1241,COS+FOS,J00535+1241,None,J00535+1241,,FOS,51,0.0605,1151,3.25,,0,8.7,-2264,-1669,-875,-954,3804,-0.47,0.27,13.3955488888889,12.6933861111111,yes,,,,,,,
J02171+1104,FOS,J02171+1104,None,None,,FOS,6*,0.408,4290,1.3,0.71,-131,19.8,-6,-214,-97,-66,5296,0.01,0.24,34.2819805555556,11.0694216666667,no,,,,,,,
J04055-1308,FOS,J04055-1308,None,None,,FOS,25,0.5705,4440,0.65,0.49,294,4.1,697,560,514,522,5398,0.03,0.33,61.3916991666667,-13.1371569444444,yes,,,,,,,
J04412-4313,FOS,J04412-4313,None,None,,FOS,32,0.5938,3608,0.83,0.59,-54,6.5,-577,-7,-53,-103,4079,-0.12,0.33,70.3221666666667,-43.2292777777778,yes,,,,,,,
J04561-2159,FOS,J04561-2159,None,None,,FOS,90,0.5346,9042,1.99,0.82,-302,17.3,2460,110,-222,-276,6520,0.31,0.21,74.0371966666667,-21.9859841666667,no,,,,,,,
J05198-4546,FOS+STIS,J05198-4546,None,None,,FOS,20,0.035,18400,0.18,0.33,51,3.2,975,-1111,-278,-291,10017,0.13,0.22,79.9572291666667,-45.7788055555556,yes,,,,,,,
J06357-7516,FOS,J06357-7516,None,None,,FOS,20,0.651,7922,2.42,1.12,292,14.2,1716,534,362,285,3368,0.41,0.29,98.94381,-75.2713166666667,yes,,,,,,,
J08535+4349,FOS,J08535+4349,None,None,,FOS,22,0.5149,2724,0.79,0.0,0,4.1,-1641,-1345,-882,-789,5448,-0.2,0.34,133.392651388889,43.8172305555556,yes,085334.23+434902.3,133.39266619097500,43.81730757614780,8281,57042,160,0.2799273527879550
J09270+3902,FOS,J09270+3902,None,None,,FOS,97,0.6953,12675,1.13,0.2,890,8.2,2341,1240,1118,1082,5271,0.24,0.31,141.762558055556,39.0391255555556,yes,092703.01+390220.8,141.7625704879330,39.03913260731310,8832,57445,384,0.04304580172082600
J10104+4132,FOS,J10104+4132,None,None,,FOS,36,0.6126,2964,1.83,0.37,21,17.6,-196,59,25,13,4161,-0.05,0.29,152.614698333333,41.5441813888889,yes,101027.52+413239.0,152.61468178175900,41.54419329908200,8302,57389,717,0.0618648883592254
J10309+3102,FOS,J10309+3102,None,None,,FOS,60,0.178,7800,1.25,1.03,-85,14.6,-187,-140,-188,-236,5538,0.01,0.28,157.746190555556,31.0488102777778,yes,103059.09+310255.7,157.74622286718800,31.04882657531400,10460,58161,61,0.11564456195629800
J10525+6125,FOS,J10525+6125,None,None,,FOS,8,0.4207,4225,1.17,,0,7.6,1487,179,51,-4,6790,0.24,0.33,163.136450833333,61.4225119444444,yes,105232.74+612520.9,163.13644262148000,61.42249272761150,7096,56683,930,0.0706111121762995
J11072+1628,FOS,J11072+1628,None,None,,FOS,32,0.632,7150,2.23,0.92,-333,17.6,761,399,-29,-208,6295,0.19,0.34,166.8126975,16.4672902777778,yes,110715.04+162802.2,166.812682,16.467296,2491,53855,252,0.0573393957796382
J11391-1350,FOS,J11391-1350,None,None,,FOS,18,0.5562,4584,1.17,1.31,139,11.3,1177,674,415,292,5620,0.18,0.35,174.7946125,-13.8454405555556,yes,,,,,,,
J11586+6254,FOS,J11586+6254,None,None,,FOS,20,0.5924,17956,4.46,0.45,251,7.7,-607,-620,187,323,8894,-0.11,0.24,179.666293333333,62.9077425,yes,115839.90+625427.9,179.666261,62.907752,777,52320,588,0.06308605338346730
J11594+2106,FOS,J11594+2106,None,None,,FOS,21,0.349,13000,0.6,0.32,-424,8.4,-1627,-614,-511,-502,5617,-0.15,0.21,179.8591875,21.1154966666667,yes,115926.20+210655.8,179.859195,21.115526,2643,54208,296,0.10856219711454200
J12047+2754,FOS,J12047+2754,None,None,,FOS,23,0.1654,5194,0.32,0.61,-475,9.1,-1323,-876,-807,-776,3782,-0.16,0.36,181.175458333333,27.90325,yes,120442.10+275411.8,181.17544701271800,27.903279430584500,6475,56337,302,0.11190434790599300
J12546+1141,FOS,J12546+1141,None,None,,FOS,26,0.8737,3600,1.17,0.0,0,2.6,-1908,-1567,-1465,-1439,4737,-0.13,0.4,193.659401666667,11.6849622222222,yes,125438.25+114105.8,193.659388,11.684966,1695,53473,217,0.05006305052024020
J13570+1919,FOS,J13570+1919,None,None,,FOS,24,0.7197,4960,1.66,2.36,132,13.0,1065,401,46,-107,6697,0.19,0.31,209.2684875,19.3186997222222,yes,135704.43+191907.3,209.268468,19.318719,2756,54508,579,0.09594299204762590
J13590-4152,FOS,J13590-4152,None,None,,FOS,14,0.3145,8978,3.49,0.48,-114,25.7,-183,-1069,-1168,-1268,10536,0.12,0.39,209.750789444444,-41.8813255555556,yes,,,,,,,
J14052+2555,FOS,J14052+2555,None,None,FOS,FOS,29,0.1633,2041,2.89,0.0,0,13.0,-675,-719,-184,-86,4650,-0.15,0.31,211.317588055556,25.9261522222222,yes,,,,,,,
J14190-1310,FOS,J14190-1310,None,None,,FOS,3.4*,0.1294,6617,0.57,0.0,0,21.1,-843,-143,-195,-222,4996,-0.13,0.33,214.765916666667,-13.1790833333333,yes,,,,,,,
J14297+4747,FOS,J14297+4747,None,None,,FOS,35,0.2199,2782,1.07,0.22,213,8.1,626,426,348,298,3278,0.11,0.36,217.429455555556,47.7906047222222,yes,142943.07+474726.2,217.42947126817800,47.79061584717400,8434,57484,311,0.05521068214504440
J14467+4035,FOS+STIS,J14467+4035,None,None,,FOS,39,0.267,3101,2.28,0.1,-982,5.3,-1422,-1143,-906,-764,5881,-0.16,0.45,221.691423888889,40.5849530555556,yes,144645.93+403505.7,221.691416,40.584941,1397,53119,190,0.04846385823319530
J14544-3747,FOS,J14544-3747,None,None,,FOS,10,0.314,4869,0.59,0.68,159,12.8,975,777,608,534,4676,0.1,0.32,223.614207222222,-37.7925402777778,no,,,,,,,
J15147+3650,FOS,J15147+3650,None,None,,FOS,17,0.371,10485,1.56,1.08,218,14.2,-32,-622,-44,-22,7656,0.0,0.28,228.679454166667,36.8473366666667,yes,151443.06+365050.4,228.67945501209200,36.8473384565634,10743,58222,410,0.006888556951650820
J15395+4735,FOS,J15395+4735,None,None,,FOS,42,0.7723,5857,2.42,,0,15.7,-659,-402,-227,-183,6224,-0.09,0.35,234.895083333333,47.592,yes,153934.80+473531.2,234.8950270264760,47.59202629936120,6729,56419,258,0.16628937576940900
